Date,Filename,model_type,beam_size,use_context,confidence_based,num_workers,confidence_limit,Max. chunk time,Min. chunk time,Avg. chunk time,Word Error Rate (WER),Word Information Loss (WIL),Total Transcription Time,Total GPU VRAM Usage,Total GPU Clock Speed,Peak GPU VRAM Usage,Peak GPU Clock Speed,Avg. GPU VRAM Usage,Avg. GPU Clock Speed,Total RAM Usage,Peak RAM Usage,Avg. RAM Usage,min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime,distance_wer,distance_wil,distance_combined
2024-12-11 20:49:38.488,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3884959,0.2622156,0.3020402,7.1,9.1,3.624481916427612,43716.0,18480,3643.0,1575,3643.0,1540.0,41.53416442871094,3.515174865722656,3.4611803690592446,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.176435625184416,9.159761366019097,11.585335558368604
2024-12-11 21:03:37.898,24-0.6.pkl,distil-medium.en,7,True,False,1,,0.4916809,0.309027,0.3912957,7.1,9.1,4.6955482959747314,43716.0,18975,3643.0,1590,3643.0,1581.25,39.54852294921875,3.367496490478516,3.295710245768229,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.180745944874981,9.163138781271321,11.585335558368604
2024-12-11 21:04:40.291,24-0.6.pkl,distil-medium.en,7,False,True,1,0.4,0.4653311,0.3054714,0.3877897,7.1,9.1,4.65347695350647,43716.0,19005,3643.0,1590,3643.0,1583.75,40.12305450439453,3.369598388671875,3.343587875366211,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.180555748089843,9.16298973323806,11.585335558368604
2024-12-11 21:07:23.500,24-0.6.pkl,distil-medium.en,7,False,False,1,,0.4553368,0.3033054,0.3792427,7.1,9.1,4.550912141799927,43716.0,18990,3643.0,1590,3643.0,1582.5,40.48866653442383,3.421031951904297,3.374055544535319,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.1800992350735156,9.162631992255461,11.585335558368604
2024-12-11 21:07:31.836,24-0.6.pkl,distil-medium.en,7,False,False,1,,0.449069,0.3062851,0.373833,7.1,9.1,4.48599648475647,43716.0,18975,3643.0,1590,3643.0,1581.25,41.6657829284668,3.550128936767578,3.472148577372233,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179815534670023,9.16240967823907,11.585335558368604
2024-12-11 20:58:16.852,24-0.6.pkl,distil-medium.en,5,False,True,4,0.4,0.4894748,0.3407826,0.3679348,7.1,9.1,4.415217876434326,43996.0,18810,3667.0,1590,3666.3333333333335,1567.5,43.84443283081055,3.7377777099609375,3.653702735900879,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179510848034916,9.16217092271537,11.585335558368604
2024-12-11 20:58:43.196,24-0.6.pkl,distil-medium.en,5,False,True,4,0.6,0.4828947,0.339046,0.3672157,7.1,9.1,4.406588554382324,43996.0,18720,3667.0,1575,3666.3333333333335,1560.0,43.1916618347168,3.706825256347656,3.5993051528930664,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179474031593574,9.162142073245015,11.585335558368604
2024-12-11 20:58:25.772,24-0.6.pkl,distil-medium.en,5,False,True,4,0.6,0.4722705,0.337276,0.3664429,7.1,9.1,4.39731502532959,43996.0,18495,3667.0,1575,3666.3333333333335,1541.25,44.80469131469727,3.832111358642578,3.733724276224772,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.17943454590683,9.162111132209672,11.585335558368604
2024-12-11 20:56:58.981,24-0.6.pkl,distil-medium.en,5,False,True,1,0.4,0.4562304,0.3397849,0.3652466,7.1,9.1,4.382959604263306,43716.0,18690,3643.0,1575,3643.0,1557.5,44.913692474365234,3.829917907714844,3.742807706197103,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179373585405036,9.16206336361038,11.585335558368604
2024-12-11 20:59:08.653,24-0.6.pkl,distil-medium.en,5,False,True,4,0.8,0.4324503,0.3421662,0.3607431,7.1,9.1,4.328917741775513,43996.0,18840,3667.0,1590,3666.3333333333335,1570.0,41.31797790527344,3.53432846069336,3.443164825439453,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179145881245039,9.161884936201588,11.585335558368604
2024-12-11 21:05:43.334,24-0.6.pkl,distil-medium.en,7,False,True,1,0.8,0.5033779,0.3343949,0.3934651,7.1,9.1,4.721581697463989,43716.0,19005,3643.0,1590,3643.0,1583.75,41.33424377441406,3.5225067138671875,3.4445203145345054,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.180864487296638,9.163231678011748,11.585335558368604
2024-12-11 20:57:33.290,24-0.6.pkl,distil-medium.en,5,False,True,1,0.8,0.4726429,0.3379662,0.3604476,7.1,9.1,4.325371265411377,43716.0,18765,3643.0,1575,3643.0,1563.75,42.38384628295898,3.5927467346191406,3.531987190246582,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179131038805863,9.161873305844484,11.585335558368604
2024-12-11 20:55:50.574,24-0.6.pkl,distil-medium.en,5,True,False,1,,0.4742422,0.3376076,0.3599391,7.1,9.1,4.319268703460693,43716.0,18900,3643.0,1575,3643.0,1575.0,43.20759201049805,3.698055267333984,3.600632667541504,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.1791055261577545,9.16185331446148,11.585335558368604
2024-12-11 20:56:41.754,24-0.6.pkl,distil-medium.en,5,False,True,1,0.4,0.4783614,0.3337536,0.3586451,7.1,9.1,4.303741693496704,43716.0,18750,3643.0,1590,3643.0,1562.5,43.287391662597656,3.7086105346679688,3.6072826385498047,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179040765154771,9.16180256869542,11.585335558368604
2024-12-11 20:57:24.527,24-0.6.pkl,distil-medium.en,5,False,True,1,0.6,0.4287183,0.3395686,0.3571703,7.1,9.1,4.286043405532837,43716.0,18810,3643.0,1575,3643.0,1567.5,41.77989959716797,3.592933654785156,3.481658299763997,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.178967239318069,9.161744955149214,11.585335558368604
2024-12-11 20:57:59.313,24-0.6.pkl,distil-medium.en,5,False,True,4,0.4,0.4418054,0.3146219,0.3570104,7.1,9.1,4.284124851226807,43996.0,18735,3667.0,1575,3666.3333333333335,1561.25,43.365352630615234,3.6573219299316406,3.613779385884603,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.178959285697903,9.161738722846671,11.585335558368604
2024-12-11 20:58:07.983,24-0.6.pkl,distil-medium.en,5,False,True,4,0.4,0.4321961,0.3155653,0.3563368,7.1,9.1,4.276041269302368,43996.0,18780,3667.0,1575,3666.3333333333335,1565.0,42.79432678222656,3.611614227294922,3.5661938985188804,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.178925819022943,9.161712499038279,11.585335558368604
2024-12-11 20:56:24.255,24-0.6.pkl,distil-medium.en,5,True,False,4,,0.4755819,0.3283415,0.3558322,7.1,9.1,4.269986629486084,43988.0,18765,3667.0,1575,3665.6666666666665,1563.75,41.27204132080078,3.509349822998047,3.4393367767333984,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.178900790131929,9.161692886937264,11.585335558368604
2024-12-11 20:59:17.177,24-0.6.pkl,distil-medium.en,5,False,False,1,,0.4442964,0.3365927,0.3558102,7.1,9.1,4.2697227001190186,43716.0,18750,3643.0,1575,3643.0,1562.5,41.79119873046875,3.5628814697265625,3.482599894205729,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.1788996997049646,9.161692032502732,11.585335558368604
2024-12-11 20:59:51.145,24-0.6.pkl,distil-medium.en,5,False,False,4,,0.4659233,0.3343544,0.3558004,7.1,9.1,4.269604444503784,43988.0,18795,3667.0,1575,3665.6666666666665,1566.25,43.6970100402832,3.720272064208984,3.6414175033569336,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.178899213990969,9.161691651907969,11.585335558368604
2024-12-11 20:57:50.555,24-0.6.pkl,distil-medium.en,5,False,True,1,0.8,0.4272878,0.2952583,0.355767,7.1,9.1,4.269204378128052,43716.0,18795,3643.0,1575,3643.0,1566.25,41.43230819702149,3.512248992919922,3.4526923497517905,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.178897558698619,9.161690354857502,11.585335558368604
2024-12-11 20:56:32.945,24-0.6.pkl,distil-medium.en,5,True,False,4,,0.4842687,0.335129,0.3600281,7.1,9.1,4.320337057113648,43988.0,18675,3667.0,1575,3665.6666666666665,1556.25,42.46923065185547,3.636882781982422,3.539102554321289,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.179109988904586,9.161856811410534,11.585335558368604
2024-12-11 21:06:46.618,24-0.6.pkl,distil-medium.en,7,False,True,4,0.8,0.4981363,0.3466237,0.3935827,7.1,9.1,4.722992420196533,43996.0,18930,3667.0,1590,3666.3333333333335,1577.5,40.66474151611328,3.4495811462402344,3.388728459676107,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,7.180870931978884,9.163236728456779,11.585335558368604
